character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
阿,a1,7,277856,598454,-0.3658499845944928,501181,87732,79767,105630,85218,17032,1561.312,427.961,381.66,510.29,507.25,189.244,596.286,3.2238176647171892,217.18019460683118,3.6611846752112416,3.125,3.3,2.4
啊,a1,10,2726,5330,-0.32323733862959286,849,675,1067,2578,2425,460,2.645,3.293,5.105,12.454,14.435,5.111,7.174,5.087565366624426,263.741776157126,3.5771775217778057,2.5625,2.8,2
皑,ai2,11,392,640,-0.24031007751937986,78,126,257,254,212,105,0.243,0.615,1.23,1.227,1.262,1.167,0.957,5.708409174341999,3.0869556828924773,5.388600071556721,3.75,3.3,3.6
蔼,ai3,14,1735,7691,-0.6318692976872481,2455,902,1106,1411,2286,1258,7.648,4.4,5.292,6.816,13.607,13.978,8.624,5.0166443856682115,5.852353482150321,5.164160241826246,4,4.3,2.9
霭,ai3,19,496,2499,-0.6687813021702838,748,230,305,548,758,418,2.33,1.122,1.459,2.647,4.512,4.644,2.786,5.421819390372222,2.186593608715505,5.496673319251752,3.75,3.6,3
艾,ai4,5,60098,247092,-0.6087242423255965,94001,67663,55262,32865,29895,27476,292.838,330.063,264.411,158.768,177.946,305.289,254.886,3.5919534745234087,27.075173802036105,4.551677546516848,3.5,3.5,3
爱,ai4,10,1443486,8347869,-0.7051509213995407,3447308,2786913,2302717,888139,284567,80397,10739.277,13594.698,11017.785,4290.527,1693.851,893.3,7038.24,2.152474227452131,504.8458773063739,3.2959817851982813,4.4375,4.6,2.8
叆,ai4,14,11,34,-0.5111111111111111,6,2,6,9,9,13,0.019,0.01,0.029,0.043,0.054,0.144,0.05,5.978810700930062,0,6,3,3.1,2.5
安,an1,6,4610624,1114890,0.6105537424238243,2305421,1233734,871545,559071,461366,292854,7181.997,6018.215,4170.072,2700.826,2746.226,3253.933,4345.212,2.361889093435509,633.7905886438618,3.197369520685836,4.5625,4.3,3.5
桉,an1,10,4250,1711,0.42593524576413355,108,137,257,720,1799,2940,0.336,0.668,1.23,3.478,10.708,32.667,8.181,5.037110012608209,3.4085135665271107,5.355707818394719,3.4375,3.4,3.2
谙,an1,11,124,134,-0.03875968992248062,12,19,24,33,73,97,0.037,0.093,0.115,0.159,0.435,1.078,0.32,5.87942606879415,2.5724630690770645,5.4470322521042265,3.1875,3.2,3.2
岸,an4,8,22487,11265,0.33248400094809194,2388,3330,7153,10446,7977,2440,7.439,16.244,34.225,50.464,47.482,27.111,30.494,4.501772176848216,114.28167184374858,3.9382397339007835,3.4375,3.3,3.3
昂,ang2,8,114849,10247,0.8361738185073864,7707,5057,7526,18131,39664,46939,24.009,24.668,36.01,87.589,236.095,521.544,154.986,3.8069143785403394,35.69292508344427,4.435417665813883,4.375,3.7,3.9
敖,ao2,10,17441,2114,0.7837893121963693,8147,1490,1022,1451,3583,3860,25.38,7.268,4.89,7.01,21.327,42.889,18.127,4.718353142132486,2.4438399156232116,5.462957044610175,3.4375,2.8,3.6
遨,ao2,13,1107,130,0.7898140662894099,21,27,59,206,440,484,0.065,0.132,0.282,0.995,2.619,5.378,1.579,5.588548657862063,1.993658878534725,5.523797688164724,4,3.4,3.7
熬,ao2,14,1475,105,0.8670886075949367,360,121,210,367,429,95,1.121,0.59,1.005,1.773,2.554,1.056,1.35,5.628932137728264,18.97191513444335,4.699580288036579,1.6875,2.1,2.7
翱,ao2,16,15014,1310,0.8395001225189904,713,567,1033,2585,4914,6505,2.221,2.766,4.943,12.488,29.25,72.278,20.658,4.664381650622395,2.379528338896285,5.471143907446653,4.5,3.5,4.1
鳌,ao2,18,6121,128,0.9590334453512562,2853,544,537,976,862,531,8.888,2.654,2.569,4.715,5.131,5.9,4.976,5.223589411192657,2.5724630690770645,5.4470322521042265,2,2.2,3.2
傲,ao4,12,93106,33758,0.46780804641190565,7337,3872,4961,11388,46882,52502,22.857,18.888,23.737,55.014,279.06,583.356,163.819,3.7829927251660616,26.110500151132207,4.566862470214676,3.375,2.6,3.7
奥,ao4,12,124385,28948,0.6224165704708053,736,362,785,5541,43886,102197,2.293,1.766,3.756,26.768,261.226,1135.522,238.555,3.6205947601022337,70.61411124616542,4.145001393439183,3.9375,2.8,3.5
骜,ao4,13,4052,423,0.8109497206703911,32,34,99,347,1629,2334,0.1,0.166,0.474,1.676,9.696,25.933,6.341,5.134244775928549,0.4501810370884863,5.8385777781093235,2.6875,2.5,3.8
澳,ao4,15,46028,10316,0.6338208149936106,176,112,216,1008,35596,19349,0.548,0.546,1.033,4.87,211.881,214.989,72.311,4.134830856451902,28.039847452940002,4.537005669325952,3.125,2.8,3.1
鏊,ao4,18,180,15,0.8461538461538461,11,7,10,19,60,88,0.034,0.034,0.048,0.092,0.357,0.978,0.257,5.900664722314042,0.4501810370884863,5.8385777781093235,2.9375,2.5,3
八,ba1,2,43674,38700,0.060383130599460995,36689,17762,14795,7961,4144,1029,114.296,86.644,70.789,38.459,24.667,11.433,57.715,4.231250934782467,563.4337237046041,3.2483870459785047,2.0625,2.8,2.5
巴,ba1,4,41015,23492,0.27164493775869286,20428,12027,12304,11361,6629,1765,63.639,58.668,58.871,54.884,39.458,19.611,49.189,4.299391457412353,277.24720726978063,3.5555691859273435,2.8125,2.8,2.2
粑,ba1,10,1,1,0,0,0,0,0,2,0,0,0,0,0,0.012,0,0.002,5.999132278468773,3.0226441061655507,5.39548838889668,1.125,2.2,1.6
拔,ba2,8,667,96,0.7483617300131061,351,89,88,137,80,18,1.093,0.434,0.421,0.662,0.476,0.2,0.548,5.810229043653126,71.70740805052317,4.138421337262605,2.1875,2.3,2.2
白,bai2,5,80178,207742,-0.44305362600722425,120806,51537,38841,39924,28567,8099,376.343,251.4,185.842,192.87,170.042,89.989,211.081,3.6734982374936633,776.0477963638235,3.1095522668378948,3.3125,3.3,2.8
百,bai3,6,276137,101455,0.4626210301065701,131600,83055,64573,50461,32166,15492,409.969,405.146,308.962,243.773,191.464,172.133,288.575,3.5382389349842507,647.681889216878,3.1879682271244527,3.5625,3.8,3.2
佰,bai3,8,136942,39523,0.5520584818519253,64367,38247,30236,22526,14149,7084,200.52,186.571,144.67,108.821,84.22,78.711,133.919,3.8699268863984257,0.38586946036155967,5.858277675434597,3.5625,3.3,3.2
柏,bai3,9,820862,158797,0.6758116854946467,368687,184830,133181,109038,99347,84291,1148.558,901.61,637.23,526.754,591.351,936.567,790.345,3.101634137323155,36.91484504125587,4.421190714644187,4.25,3.6,3.4
拜,bai4,9,662,339,0.3226773226773227,206,107,153,205,255,74,0.642,0.522,0.732,0.99,1.518,0.822,0.871,5.72792621249999,77.55976153267349,4.104799843515419,2.4375,2.9,3
班,ban1,10,5120,2273,0.38509400784525905,1558,1159,1171,1780,1439,287,4.854,5.654,5.603,8.599,8.565,3.189,6.077,5.150150804394742,255.70282906626022,3.590569345036794,2.75,2.7,2.9
板,ban3,8,1220,2912,-0.409486931268151,2014,656,534,475,349,102,6.274,3.2,2.555,2.295,2.077,1.133,2.922,5.406492410668235,196.72911320766852,3.703929381396599,2.1875,2.3,2.8
邦,bang1,6,673998,154210,0.6276056256399358,357808,153670,123211,84030,68308,41017,1114.667,749.61,589.526,405.942,406.595,455.744,620.347,3.2066657941920798,57.816107477507025,4.230503721022044,3.9375,3.7,3.6
帮,bang1,9,293280,125144,0.40183163489665985,167513,88421,75438,46555,30126,9602,521.847,431.322,360.947,224.903,179.321,106.689,304.172,3.5154553160754034,249.20735981684064,3.601699919739196,3.125,4,3.1
榜,bang3,14,63269,3175,0.9044307988682199,31786,10085,7866,7407,6512,3189,99.022,49.195,37.636,35.783,38.762,35.433,49.305,4.298388846663942,20.451081399162664,4.668550809127233,3.375,3.1,3.5
包,bao1,5,5347,1998,0.45595643294758337,3028,1065,971,1106,961,209,9.433,5.195,4.646,5.343,5.72,2.322,5.443,5.190911868653654,513.3993170110552,3.288699616713941,2.875,3.1,2.7
薄,bao2,16,2067,611,0.5436893203883495,109,91,159,635,1155,522,0.34,0.444,0.761,3.068,6.875,5.8,2.881,5.4110563572599855,96.53167666711684,4.0108543097633165,2.125,2.1,2.3
宝,bao3,8,5172285,2127202,0.4171639733038774,2784819,1523802,1154927,962086,603022,270588,8675.449,7433.18,5525.967,4647.758,3589.417,3006.533,5479.717,2.2611626223962302,158.14216717151254,3.7982147320847877,4.25,3.8,3.4
保,bao3,9,3517598,832890,0.6171050236203387,1837397,1056510,763489,445419,191225,56937,5723.978,5153.707,3653.057,2151.783,1138.244,632.633,3075.567,2.511933622616113,738.2969008251175,3.1311811143859685,4.125,4.3,3.5
葆,bao3,12,7780,5287,0.1907859493380271,4046,1982,2239,1500,1635,1654,12.604,9.668,10.713,7.246,9.732,18.378,11.39,4.906928693623937,4.694745101065642,5.2445257103343295,4.1875,3.9,3.2
报,bao4,7,11204,860,0.8574270557029178,3405,1868,2193,2694,1617,317,10.607,9.112,10.493,13.014,9.625,3.522,9.396,4.983133729171025,605.2362485771064,3.2173580994986524,2.9375,3,3.1
抱,bao4,8,845,702,0.09243697478991597,706,77,90,229,320,126,2.199,0.376,0.431,1.106,1.905,1.4,1.236,5.650528200785614,112.99544030921005,3.9431125196122343,2.5625,3.3,2.8
豹,bao4,10,86099,227,0.9947408660195074,11008,11255,16862,25787,17978,3412,34.293,54.902,80.679,124.575,107.012,37.911,73.229,4.129426390146591,12.219199578116056,4.878794840563792,2.875,2.2,3.5
鲍,bao4,13,953,65,0.8722986247544204,78,48,126,306,379,81,0.243,0.234,0.603,1.478,2.256,0.9,0.952,5.709520186669327,7.653077630504266,5.06282940002374,2.625,2.3,2.8
